,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20261,Russian Federation,RUS,2021-03-02,5249831.0,4158334.0,1091497.0,441.0,145901737.0,2.850092182247289
20262,Russian Federation,RUS,2021-03-03,5489342.0,4287423.0,1201919.0,452.0,145901737.0,2.938568853364645
20263,Russian Federation,RUS,2021-03-04,6010744.0,4701175.0,1309569.0,475.0,145901737.0,3.2221514950161283
20264,Russian Federation,RUS,2021-03-05,6301854.0,4908178.0,1393676.0,462.0,145901737.0,3.3640298607274293
20265,Russian Federation,RUS,2021-03-06,6583873.0,5082127.0,1501746.0,441.0,145901737.0,3.483253252838244
20266,Russian Federation,RUS,2021-03-07,6655487.0,5128138.0,1527349.0,374.0,145901737.0,3.51478886094413
20267,Russian Federation,RUS,2021-03-08,6669466.0,5136605.0,1532861.0,373.0,145901737.0,3.520592081778985
20268,Russian Federation,RUS,2021-03-09,6694349.0,5149589.0,1544760.0,336.0,145901737.0,3.5294912218899763
20269,Russian Federation,RUS,2021-03-10,7048129.0,5272651.0,1775478.0,466.0,145901737.0,3.6138370306036864
20270,Russian Federation,RUS,2021-03-11,7273933.0,5366009.0,1907924.0,459.0,145901737.0,3.677823931595825
20271,Russian Federation,RUS,2021-03-17,7818009.0,5379359.0,2438650.0,427.0,145901737.0,3.686973925471497
20272,Russian Federation,RUS,2021-03-18,7909438.0,5431048.0,2478390.0,460.0,145901737.0,3.722401193893943
20273,Russian Federation,RUS,2021-03-19,8185944.0,5544777.0,2641167.0,443.0,145901737.0,3.800350231608277
20274,Russian Federation,RUS,2021-03-20,8306498.0,5595893.0,2710605.0,392.0,145901737.0,3.835384769956508
20275,Russian Federation,RUS,2021-03-21,8362575.0,5611139.0,2751436.0,371.0,145901737.0,3.8458342685803664
20276,Russian Federation,RUS,2021-03-29,11124350.0,6846664.0,4277686.0,293.0,145901737.0,4.692654207399874
20277,Russian Federation,RUS,2021-03-30,11183108.0,6886259.0,4296849.0,409.0,145901737.0,4.71979233530304
20278,Russian Federation,RUS,2021-03-31,11373572.0,7004336.0,4369236.0,408.0,145901737.0,4.800721460910366
20279,Russian Federation,RUS,2021-04-01,11642295.0,7159411.0,4482884.0,383.0,145901737.0,4.9070087493201
20280,Russian Federation,RUS,2021-04-02,11779295.0,7247479.0,4531816.0,400.0,145901737.0,4.967369922401952
20281,Russian Federation,RUS,2021-04-03,12038859.0,7445035.0,4593824.0,384.0,145901737.0,5.102773382334715
20282,Russian Federation,RUS,2021-04-04,12120810.0,7505764.0,4615046.0,357.0,145901737.0,5.14439660166623
20283,Russian Federation,RUS,2021-04-05,12215342.0,7576640.0,4638702.0,343.0,145901737.0,5.192974501736056
20284,Russian Federation,RUS,2021-04-06,12474954.0,7753876.0,4721078.0,389.0,145901737.0,5.314450779979405
20285,Russian Federation,RUS,2021-04-07,13047800.0,7908918.0,5138882.0,374.0,145901737.0,5.420715450426748
